ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780439330,0.739,0.7653,0.9242,0.7026,0.7793,0.7319,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 256, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 130}",48.9
1780439434,0.775,0.8325,0.9316,0.7835,0.7666,0.7666,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 132}",104.4
1780439478,0.7831,0.845,0.933,0.7881,0.7781,0.7749,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 485}",42.5
1780439605,0.7862,0.8469,0.9339,0.7978,0.775,0.7786,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 256}",126.5
1780439639,0.7425,0.7737,0.9249,0.704,0.7855,0.7362,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 748}",34.7
1780439672,0.7551,0.798,0.9289,0.7468,0.7635,0.7474,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 512, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 463}",32.2
1780439740,0.7455,0.7766,0.925,0.7444,0.7465,0.738,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 696}",68.5
1780439766,0.7511,0.7872,0.9271,0.7362,0.7666,0.744,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 738}",26.2
1780439789,0.7566,0.7888,0.9277,0.7576,0.7556,0.7493,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 183}",23.1
1780439895,0.775,0.8361,0.9316,0.7811,0.769,0.7677,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 1024, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 187}",105.7
