ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780485315,0.7347,0.7278,0.9075,0.735,0.7344,0.721,"{""model"": ""vae"", ""mode"": ""full"", ""widths"": [64, 32], ""latent"": 4, ""beta"": 1.0, ""lr"": 0.0005, ""epochs"": 30, ""batch"": 1024, ""mc"": 20, ""seed"": 42}",265.7
1780485708,0.74,0.7922,0.9124,0.7401,0.7399,0.7396,"{""model"": ""vae"", ""mode"": ""full"", ""widths"": [64, 32, 16], ""latent"": 6, ""beta"": 1.0, ""lr"": 0.0005, ""epochs"": 30, ""batch"": 1024, ""mc"": 20, ""seed"": 46}",295.5
1780486092,0.7049,0.7004,0.881,0.6582,0.7587,0.6797,"{""model"": ""vae"", ""mode"": ""full"", ""widths"": [64, 32], ""latent"": 6, ""beta"": 1.0, ""lr"": 0.0005, ""epochs"": 20, ""batch"": 1024, ""mc"": 20, ""seed"": 890}",172.4
1780486562,0.7466,0.758,0.9182,0.7459,0.7472,0.741,"{""model"": ""vae"", ""mode"": ""full"", ""widths"": [128, 64], ""latent"": 6, ""beta"": 0.3, ""lr"": 0.0005, ""epochs"": 40, ""batch"": 1024, ""mc"": 10, ""seed"": 121}",353.4
1780487510,0.6636,0.4261,0.8414,0.6484,0.6795,0.5693,"{""model"": ""vae"", ""mode"": ""full"", ""widths"": [64, 32], ""latent"": 6, ""beta"": 0.1, ""lr"": 0.0005, ""epochs"": 30, ""batch"": 1024, ""mc"": 20, ""seed"": 560}",326.4
