ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780437242,0.5906,0.657,0.9097,0.4724,0.7877,0.5851,"{""kind"": ""transformer"", ""mode"": ""full"", ""patch_len"": 5, ""d_model"": 64, ""n_heads"": 4, ""ffn"": 128, ""n_layers"": 2, ""dropout"": 0.1, ""lr"": 0.0005, ""epochs"": 25, ""batch"": 512, ""patience"": 5, ""seed"": 42}",286.0
1780437741,0.5902,0.6539,0.908,0.4844,0.7549,0.5838,"{""kind"": ""transformer"", ""mode"": ""full"", ""patch_len"": 5, ""d_model"": 64, ""n_heads"": 4, ""ffn"": 128, ""n_layers"": 2, ""dropout"": 0.1, ""lr"": 0.0005, ""epochs"": 25, ""batch"": 512, ""patience"": 5, ""seed"": 42}",209.9
1780438815,0.6309,0.6748,0.9205,0.5146,0.8151,0.6253,"{""kind"": ""transformer"", ""mode"": ""full"", ""patch_len"": 4, ""d_model"": 64, ""n_heads"": 8, ""ffn"": 256, ""n_layers"": 3, ""dropout"": 0.2, ""lr"": 0.0003, ""epochs"": 35, ""batch"": 256, ""patience"": 5, ""seed"": 643}",681.8
1780439564,0.559,0.6267,0.8876,0.476,0.6772,0.5538,"{""kind"": ""transformer"", ""mode"": ""medium"", ""patch_len"": 6, ""d_model"": 128, ""n_heads"": 4, ""ffn"": 128, ""n_layers"": 2, ""dropout"": 0.2, ""lr"": 0.0005, ""epochs"": 35, ""batch"": 256, ""patience"": 5, ""seed"": 502}",425.4
1780440153,0.5279,0.603,0.8762,0.4499,0.6387,0.5247,"{""kind"": ""transformer"", ""mode"": ""medium"", ""patch_len"": 5, ""d_model"": 96, ""n_heads"": 8, ""ffn"": 256, ""n_layers"": 3, ""dropout"": 0.1, ""lr"": 0.0003, ""epochs"": 35, ""batch"": 512, ""patience"": 5, ""seed"": 92}",367.9
1780440647,0.5812,0.6494,0.9058,0.4831,0.7293,0.5729,"{""kind"": ""transformer"", ""mode"": ""full"", ""patch_len"": 5, ""d_model"": 96, ""n_heads"": 4, ""ffn"": 128, ""n_layers"": 3, ""dropout"": 0.1, ""lr"": 0.0003, ""epochs"": 15, ""batch"": 512, ""patience"": 5, ""seed"": 540}",257.3
1780441209,0.6025,0.6588,0.9115,0.4952,0.7691,0.5958,"{""kind"": ""transformer"", ""mode"": ""full"", ""patch_len"": 5, ""d_model"": 96, ""n_heads"": 8, ""ffn"": 128, ""n_layers"": 3, ""dropout"": 0.2, ""lr"": 0.0003, ""epochs"": 25, ""batch"": 512, ""patience"": 5, ""seed"": 893}",298.0
1780441778,0.5872,0.6514,0.9074,0.4751,0.7685,0.5805,"{""kind"": ""transformer"", ""mode"": ""full"", ""patch_len"": 5, ""d_model"": 64, ""n_heads"": 8, ""ffn"": 256, ""n_layers"": 2, ""dropout"": 0.1, ""lr"": 0.0003, ""epochs"": 25, ""batch"": 512, ""patience"": 5, ""seed"": 233}",280.5
1780442591,0.5211,0.5921,0.8641,0.444,0.6307,0.518,"{""kind"": ""transformer"", ""mode"": ""medium"", ""patch_len"": 6, ""d_model"": 64, ""n_heads"": 8, ""ffn"": 128, ""n_layers"": 2, ""dropout"": 0.1, ""lr"": 0.0005, ""epochs"": 35, ""batch"": 256, ""patience"": 5, ""seed"": 679}",348.1
