detector,thr_C=1,FP_C=1,FN_C=1,rec_C=1,prec_C=1,thr_C=5,FP_C=5,FN_C=5,rec_C=5,prec_C=5,thr_C=10,FP_C=10,FN_C=10,rec_C=10,prec_C=10,thr_C=20,FP_C=20,FN_C=20,rec_C=20,prec_C=20,thr_C=50,FP_C=50,FN_C=50,rec_C=50,prec_C=50
CNN-AE,5576.46244086814,1353,94093,0.027130700910905012,0.6597938144329897,572.8152578992965,102165,68384,0.29294746528531695,0.21711443853545648,0.96986556,508282,1,0.9999896605560553,0.15986168549317517,0.96986556,508282,1,0.9999896605560553,0.15986168549317517,0.96986556,508282,1,0.9999896605560553,0.15986168549317517
Transformer-AE,11.681583661407037,25015,51740,0.46503717030098124,0.6426020116584753,11.681583661407037,25015,51740,0.46503717030098124,0.6426020116584753,0.06949469,508269,0,1.0,0.1598665093076534,0.06949469,508269,0,1.0,0.1598665093076534,0.06949469,508269,0,1.0,0.1598665093076534
LightGBM,0.6536361599514704,4005,15005,0.8448566436097067,0.9532764795781467,0.3556358809690999,14335,10761,0.8887372437110332,0.8570659381200706,0.2591005793269236,19785,9921,0.8974223766245851,0.8143665381259324,0.14157934254514373,46434,8287,0.9143170280302325,0.6556975916478823,0.07862153712633309,165503,4792,0.9504533846169753,0.35709013782494525
Stacking,0.8736414965812785,7570,19884,0.7944104966034926,0.9103112448609647,0.5675065069666008,28743,10530,0.89112565526226,0.7499086400417646,0.3617436450944403,56645,6509,0.9327005593639174,0.6142741380836619,0.15598078322227976,101698,3593,0.9628503779066762,0.47799529827226905,0.07568308102826589,160205,1927,0.9800758915185541,0.3717327790740995
