episode_id,type,severity,duration_min,latency_min,detected
137,noise,low,86,9.0,True
138,noise,medium,161,6.0,True
139,noise,low,21,12.0,True
140,noise,high,45,3.0,True
141,noise,low,162,14.0,True
142,noise,high,70,3.0,True
143,noise,high,168,3.0,True
144,noise,high,73,3.0,True
145,noise,high,41,3.0,True
146,noise,low,17,,False
147,noise,high,169,5.0,True
148,noise,high,18,5.0,True
149,noise,medium,106,4.0,True
150,ramp,low,167,75.0,True
151,ramp,medium,177,134.0,True
152,ramp,high,44,4.0,True
153,ramp,low,94,,False
154,ramp,high,98,61.0,True
155,ramp,low,21,15.0,True
156,ramp,medium,154,57.0,True
157,ramp,medium,108,53.0,True
158,ramp,low,169,18.0,True
159,ramp,high,153,34.0,True
160,ramp,low,95,79.0,True
161,ramp,high,60,26.0,True
162,ramp,medium,29,0.0,True
163,ramp,medium,51,41.0,True
164,ramp,low,15,8.0,True
165,ramp,low,65,60.0,True
166,ramp,medium,179,46.0,True
167,ramp,high,122,14.0,True
168,ramp,medium,136,33.0,True
169,ramp,low,138,36.0,True
170,ramp,medium,70,14.0,True
171,ramp,high,118,34.0,True
172,ramp,high,22,7.0,True
173,ramp,low,23,,False
174,ramp,high,15,10.0,True
175,ramp,high,102,30.0,True
176,ramp,medium,78,65.0,True
177,ramp,high,126,24.0,True
178,ramp,low,158,53.0,True
179,ramp,high,103,11.0,True
180,ramp,medium,110,88.0,True
181,ramp,low,128,23.0,True
182,ramp,medium,127,52.0,True
183,ramp,low,176,45.0,True
184,ramp,medium,72,17.0,True
185,ramp,medium,105,53.0,True
186,ramp,medium,43,16.0,True
187,ramp,medium,91,68.0,True
188,ramp,medium,18,13.0,True
189,ramp,low,169,161.0,True
190,ramp,high,27,18.0,True
191,ramp,medium,55,47.0,True
192,ramp,low,166,104.0,True
193,ramp,medium,89,19.0,True
194,ramp,medium,21,10.0,True
195,ramp,high,35,27.0,True
196,ramp,high,108,27.0,True
197,ramp,low,32,16.0,True
198,ramp,medium,88,28.0,True
199,ramp,high,15,7.0,True
200,step,low,76,45.0,True
201,step,medium,23,14.0,True
202,step,medium,167,79.0,True
203,step,high,160,62.0,True
204,step,high,78,41.0,True
205,step,low,134,111.0,True
206,step,high,173,43.0,True
207,step,medium,77,25.0,True
208,step,low,145,51.0,True
209,step,medium,116,52.0,True
210,step,high,158,46.0,True
211,step,high,111,43.0,True
212,step,medium,58,38.0,True
213,step,medium,116,60.0,True
214,step,high,17,7.0,True
215,step,high,63,23.0,True
216,step,low,85,30.0,True
217,step,low,21,11.0,True
218,step,low,167,91.0,True
219,step,medium,29,11.0,True
220,step,high,21,9.0,True
221,step,high,114,44.0,True
222,step,medium,72,25.0,True
223,step,high,55,24.0,True
224,step,low,143,33.0,True
225,step,medium,152,60.0,True
226,step,low,22,17.0,True
227,step,medium,64,25.0,True
228,step,high,139,58.0,True
229,step,medium,166,82.0,True
230,step,high,123,41.0,True
231,step,low,113,28.0,True
232,step,medium,150,72.0,True
233,step,low,38,19.0,True
234,step,low,173,0.0,True
235,step,medium,152,74.0,True
236,step,high,180,52.0,True
237,step,low,122,69.0,True
238,step,low,134,61.0,True
239,step,medium,51,25.0,True
240,step,medium,46,23.0,True
241,step,medium,29,12.0,True
242,step,high,177,60.0,True
243,step,low,91,52.0,True
244,step,medium,66,23.0,True
245,step,medium,21,,False
246,step,medium,78,23.0,True
247,step,high,136,52.0,True
248,step,medium,143,63.0,True
249,step,low,69,32.0,True
250,replay,low,15,,False
251,replay,high,163,25.0,True
252,replay,low,44,13.0,True
253,replay,low,37,,False
254,replay,low,33,12.0,True
255,replay,high,63,5.0,True
256,replay,low,147,3.0,True
257,replay,low,126,6.0,True
258,replay,low,25,,False
259,replay,high,166,46.0,True
260,replay,medium,89,3.0,True
261,replay,medium,141,3.0,True
262,replay,high,73,3.0,True
263,replay,high,58,3.0,True
264,replay,low,38,,False
265,replay,low,98,3.0,True
266,replay,medium,68,11.0,True
267,replay,high,166,3.0,True
268,replay,medium,18,8.0,True
269,replay,medium,120,3.0,True
270,replay,high,118,3.0,True
271,replay,medium,20,,False
272,replay,low,145,24.0,True
273,replay,medium,125,3.0,True
274,replay,low,69,,False
275,replay,low,118,2.0,True
276,replay,medium,39,3.0,True
277,replay,medium,62,10.0,True
278,replay,medium,126,3.0,True
279,replay,low,169,153.0,True
280,replay,medium,173,91.0,True
281,replay,medium,93,38.0,True
282,replay,high,72,6.0,True
283,replay,medium,51,0.0,True
284,replay,medium,15,7.0,True
285,replay,medium,17,,False
286,replay,medium,106,3.0,True
287,replay,medium,132,3.0,True
288,replay,medium,90,6.0,True
289,replay,high,69,3.0,True
290,replay,high,124,,False
291,replay,high,107,3.0,True
292,replay,high,39,3.0,True
293,replay,low,119,18.0,True
294,replay,medium,56,3.0,True
295,replay,low,137,3.0,True
296,replay,medium,39,4.0,True
297,replay,high,72,25.0,True
298,replay,high,36,3.0,True
299,replay,high,53,27.0,True
300,voltage_spoof,high,39,3.0,True
301,voltage_spoof,high,144,3.0,True
302,voltage_spoof,high,75,5.0,True
303,voltage_spoof,medium,78,6.0,True
304,voltage_spoof,medium,27,21.0,True
305,voltage_spoof,high,30,3.0,True
306,voltage_spoof,medium,49,3.0,True
307,voltage_spoof,medium,124,24.0,True
308,voltage_spoof,low,125,58.0,True
309,voltage_spoof,medium,137,3.0,True
310,voltage_spoof,medium,29,0.0,True
311,voltage_spoof,medium,60,3.0,True
312,voltage_spoof,low,127,3.0,True
313,voltage_spoof,medium,18,8.0,True
314,voltage_spoof,low,37,13.0,True
315,voltage_spoof,medium,61,3.0,True
316,voltage_spoof,high,57,18.0,True
317,voltage_spoof,low,26,3.0,True
318,voltage_spoof,high,128,2.0,True
319,voltage_spoof,low,73,7.0,True
320,voltage_spoof,high,146,3.0,True
321,voltage_spoof,low,147,0.0,True
322,voltage_spoof,medium,134,20.0,True
323,voltage_spoof,medium,19,3.0,True
324,voltage_spoof,medium,38,6.0,True
325,voltage_spoof,medium,176,9.0,True
326,voltage_spoof,medium,81,3.0,True
327,voltage_spoof,low,86,60.0,True
328,voltage_spoof,high,18,3.0,True
329,voltage_spoof,medium,145,3.0,True
330,voltage_spoof,medium,53,3.0,True
331,voltage_spoof,medium,87,11.0,True
332,voltage_spoof,low,144,18.0,True
333,voltage_spoof,high,149,8.0,True
334,voltage_spoof,high,156,3.0,True
335,voltage_spoof,low,94,11.0,True
336,voltage_spoof,low,34,19.0,True
337,voltage_spoof,high,164,3.0,True
338,voltage_spoof,low,105,3.0,True
339,voltage_spoof,low,51,10.0,True
340,voltage_spoof,high,43,0.0,True
341,voltage_spoof,high,51,3.0,True
342,voltage_spoof,high,177,3.0,True
343,voltage_spoof,medium,32,5.0,True
344,voltage_spoof,medium,90,26.0,True
345,voltage_spoof,low,74,12.0,True
346,voltage_spoof,medium,70,3.0,True
347,voltage_spoof,low,86,77.0,True
348,voltage_spoof,high,18,3.0,True
349,voltage_spoof,low,136,4.0,True
