episode_id,type,severity,duration_min,latency_min,detected
0,scaling,low,46,,False
1,scaling,medium,36,3.0,True
2,scaling,medium,52,3.0,True
3,scaling,high,87,16.0,True
4,scaling,high,131,18.0,True
5,scaling,medium,153,19.0,True
6,scaling,high,79,9.0,True
7,scaling,high,128,2.0,True
8,scaling,high,48,3.0,True
9,scaling,medium,145,3.0,True
10,scaling,high,132,6.0,True
11,scaling,medium,91,20.0,True
12,scaling,high,38,4.0,True
13,scaling,medium,125,12.0,True
14,scaling,medium,108,16.0,True
15,scaling,low,120,47.0,True
16,scaling,low,107,35.0,True
17,scaling,high,20,17.0,True
18,scaling,medium,50,,False
19,scaling,medium,156,3.0,True
20,scaling,medium,24,3.0,True
21,scaling,low,63,3.0,True
22,scaling,medium,107,,False
23,scaling,medium,125,3.0,True
24,scaling,medium,150,4.0,True
25,scaling,high,18,6.0,True
26,scaling,medium,134,16.0,True
27,scaling,high,41,3.0,True
28,scaling,medium,40,3.0,True
29,scaling,medium,89,3.0,True
30,scaling,low,65,27.0,True
31,scaling,high,75,3.0,True
32,scaling,medium,34,5.0,True
33,scaling,low,165,3.0,True
34,scaling,high,59,10.0,True
35,scaling,low,144,3.0,True
36,scaling,low,89,8.0,True
37,scaling,medium,31,3.0,True
38,scaling,medium,90,3.0,True
39,scaling,high,65,4.0,True
40,scaling,low,44,5.0,True
41,scaling,low,140,3.0,True
42,scaling,low,86,5.0,True
43,scaling,high,111,3.0,True
44,scaling,low,29,,False
45,scaling,high,21,3.0,True
46,scaling,medium,69,3.0,True
47,scaling,low,32,9.0,True
48,scaling,low,43,3.0,True
49,scaling,low,111,48.0,True
50,offset,low,100,3.0,True
51,offset,high,57,3.0,True
52,offset,medium,42,3.0,True
53,offset,high,87,3.0,True
54,offset,high,163,3.0,True
55,offset,low,162,3.0,True
56,offset,high,101,3.0,True
57,offset,medium,143,5.0,True
58,offset,high,77,3.0,True
59,offset,high,138,3.0,True
60,offset,high,170,3.0,True
61,offset,low,35,0.0,True
62,offset,high,40,3.0,True
63,offset,medium,114,3.0,True
64,offset,medium,47,6.0,True
65,offset,high,144,4.0,True
66,offset,medium,98,3.0,True
67,offset,low,17,,False
68,offset,low,36,,False
69,offset,high,35,12.0,True
70,offset,high,130,4.0,True
71,offset,medium,48,10.0,True
72,offset,high,133,7.0,True
73,offset,low,36,33.0,True
74,offset,high,168,3.0,True
75,offset,low,64,,False
76,offset,low,125,79.0,True
77,offset,low,19,3.0,True
78,offset,medium,107,3.0,True
79,offset,low,32,18.0,True
80,offset,medium,84,3.0,True
81,offset,medium,113,3.0,True
82,offset,low,148,54.0,True
83,offset,medium,145,3.0,True
84,offset,medium,33,3.0,True
85,offset,high,103,9.0,True
86,offset,medium,115,15.0,True
87,offset,medium,115,13.0,True
88,offset,medium,77,3.0,True
89,offset,low,123,4.0,True
90,offset,medium,90,3.0,True
91,offset,low,150,9.0,True
92,offset,medium,32,4.0,True
93,offset,high,113,3.0,True
94,offset,medium,151,3.0,True
95,offset,medium,38,,False
96,offset,low,42,13.0,True
97,offset,low,40,3.0,True
98,offset,medium,18,4.0,True
99,offset,medium,43,,False
100,noise,high,145,6.0,True
101,noise,low,159,57.0,True
102,noise,medium,122,5.0,True
103,noise,low,138,13.0,True
104,noise,medium,176,7.0,True
105,noise,medium,149,3.0,True
106,noise,medium,92,3.0,True
107,noise,low,24,15.0,True
108,noise,low,25,3.0,True
109,noise,medium,48,5.0,True
110,noise,medium,67,10.0,True
111,noise,medium,132,5.0,True
112,noise,medium,123,4.0,True
113,noise,medium,46,13.0,True
114,noise,high,153,5.0,True
115,noise,high,45,13.0,True
116,noise,high,129,4.0,True
117,noise,low,88,38.0,True
118,noise,medium,92,13.0,True
119,noise,low,137,3.0,True
120,noise,high,69,4.0,True
121,noise,low,106,15.0,True
122,noise,medium,129,5.0,True
123,noise,high,28,3.0,True
124,noise,medium,24,3.0,True
125,noise,medium,66,11.0,True
126,noise,low,160,3.0,True
127,noise,medium,79,4.0,True
128,noise,low,43,11.0,True
129,noise,medium,150,11.0,True
130,noise,high,17,4.0,True
131,noise,medium,54,25.0,True
132,noise,high,21,5.0,True
133,noise,low,92,32.0,True
134,noise,medium,180,7.0,True
135,noise,low,17,,False
136,noise,medium,117,3.0,True
