,scaling,offset,noise,ramp,step,replay,voltage_spoof
LightGBM,0.9506282995018217,0.9792056410994388,0.9658006547328829,0.7809510209910039,0.6337484524069623,0.7982107355864811,0.9902971497877502
Stacking,0.7190125659900364,0.8073823571736941,0.9272828585359059,0.5369127516778524,0.5454082004224019,0.7123686452712298,0.915175864160097
Dense-AE,0.8408060078816268,0.8999136566412433,0.9171136031204291,0.6891332286163073,0.5968975311339305,0.7370775347912525,0.9711188599151
KMeans+IF,0.801769648300989,0.8917110375593611,0.7991920317615101,0.7035556190204199,0.5633966936129925,0.6511644419199091,0.8412674348089751
Isolation Forest,0.7696483009889211,0.8828608432868038,0.8422372361914049,0.6704983578466371,0.5928191683052946,0.6628088611190003,0.8079138872043663
LSTM-AE,0.7962673804743847,0.8952367247085912,1.0,0.6184492360416964,0.725220304420654,0.8946322067594433,0.9569436021831413
VAE,0.8631124990705629,0.9300618794071089,0.743400431845093,0.7318292160502642,0.6483868618454591,0.6582646975291111,0.9113856882959369
Transformer-AE,0.6164027065209309,0.6196575046769319,0.9976318172320122,0.5044266742824504,0.5777437914208725,0.8262567452428288,0.760536688902365
CNN-AE,0.4030039408134434,0.559217153547273,0.9491537229226161,0.35841782093388547,0.45080474837957907,0.5726356148821358,0.4104002425712553
