model,type,F1,F2,precision,recall,AUC_PR,AUC_ROC,size_KB,ms_sample,CI_low,CI_high
LightGBM,supervised,0.9104,0.8861,0.954,0.8706,0.9408,0.9627,3110.9,0.0025,0.9090078006866125,0.911532307075844
Stacking,unsupervised,0.8277,0.7711,0.9433,0.7374,0.9101,0.963,,,0.8256269053336225,0.8296250428966165
Dense-AE,unsupervised,0.8083,0.8073,0.8099,0.8067,0.8176,0.9304,134.0,0.0004,0.8064378839944218,0.8102083327323706
KMeans+IF,unsupervised,0.7895,0.7651,0.8337,0.7497,0.7644,0.927,17425.4,0.0114,0.7870459574195577,0.7915508757598156
Isolation Forest,unsupervised,0.7544,0.7499,0.7621,0.7469,0.7824,0.9266,6910.8,0.0095,0.752542207049905,0.7563888910196441
LSTM-AE,unsupervised,0.7306,0.7931,0.6457,0.8411,0.8853,0.9429,3178.6,0.0038,0.7284610228569129,0.7325697028938583
VAE,unsupervised,0.7152,0.7288,0.6938,0.738,0.5453,0.8908,27.5,0.0003,0.6739318828201206,0.6785070125387781
Transformer-AE,unsupervised,0.6138,0.6638,0.5453,0.702,0.587,0.884,1102.8,0.001,0.6113299568223521,0.616424629946681
CNN-AE,unsupervised,0.4333,0.4879,0.3652,0.5326,0.4281,0.755,198.5,0.0004,0.4309412080702757,0.43569803224155446
