detector,thr_F1,F1,P_F1,R_F1,thr_F2,F2,P_F2,R_F2,thr_F0.5,F0.5,P_F0.5,R_F0.5
CNN-AE,5.7296653,0.28149971650321937,0.16448461580038462,0.9754128022994923,4.501239,0.4918775032405925,0.16381111216182526,0.9850905218317358,1136.9592,0.2381602679452812,0.2580087594662292,0.18211896564202776
Transformer-AE,3.7997236,0.5926942505414645,0.5598676044683492,0.6296100995688452,1.1987052,0.6934113845717986,0.42282149325820084,0.8254805256573301,6.947228,0.5985528325855215,0.6162280181313335,0.5369480029364021
LightGBM,0.5875499009292344,0.8967702448222072,0.9416903651461722,0.8559405275184301,0.3563232920398442,0.8822750507894486,0.8574549589992219,0.8887062253791991,0.7621039241609132,0.9376077582758762,0.9741432559978257,0.815296173371796
Stacking,0.8446223270343033,0.8508000498008347,0.8938224377803584,0.811729065210873,0.5692327824351943,0.8588226145202065,0.7513563017880506,0.8906707197286929,0.936340068857692,0.8954735460691486,0.9457480335813978,0.738453425974751
